SmartestMoney,True,2019-02-13 11:41:00,3.641,CDMO Added
BMWLTWM3,,2019-02-13 10:21:00,3.7,SGYP AVEO SENS CDMO LIFE sorry fat fingered SHLDQ not G
BMWLTWM3,,2019-02-13 10:20:00,3.7,SGYP AVEO SENS CDMO LIFE Just remember Retail Big Box stores are dead so are Malls dont look now SHLDG their bankrupt LMAO
