VolumeBot,,2019-02-13 15:34:00,69.197,Aggregate short volume reported to FINRA for XLK was 1182760 on 021219 volumebotcomsXLK
cybercash28,,2019-02-13 15:11:00,69.204,TLT red XLU red so equities the place to be especially chips R strong SOXX SOXL SPY XLK
cybercash28,,2019-02-13 15:04:00,69.234,MLNX its going to be acquired sooner or later they just want high price QQQ XLK
cybercash28,,2019-02-13 14:35:00,69.185,TWLO CNBC guest pro LT story great just whipsaw today something like that Buy for LT QQQ XLK
cybercash28,,2019-02-13 14:09:00,69.12,SOXX HH above ma200 very good setup Wkly HH above ma50 Looking good SOXL strong chips good for mrkt SPY XLK
cybercash28,,2019-02-13 13:56:00,69.115,ZEN still green XSW QQQ XLK
cybercash28,,2019-02-13 13:49:00,69.095,OKTA Hammer dips got bot HACK QQQ XLK XSW
cybercash28,,2019-02-13 13:36:00,69.11,WIX broke 120 awesome QQQ XLK
cybercash28,,2019-02-13 13:07:00,69.05,TWLO 8 guys gave PTs Will go higher yes BTD for LT investment XSW QQQ XLK
cybercash28,,2019-02-13 13:03:00,69.062,HUBS 205 highest price All coverage today XSW QQQ XLK
cybercash28,,2019-02-13 12:55:00,69.01,TWLO time to form hammer XSW QQQ XLK
cybercash28,,2019-02-13 12:39:00,69.05,HUBS bo ER Got good PT increased a lot higher so good to BTD QQQ XLK
ElliottwaveForecast,,2019-02-13 12:31:00,69.046,XLK While 669 low is holding then the ETF can extend higher toward 705 747 area elliottwave
ElliottwaveForecast,,2019-02-13 12:30:00,69.053,XLK Reached short term 100 area 6920 7013 from where 3 waves pullback can happen elliottwave
cybercash28,,2019-02-13 11:52:00,69.032,SPY QQQ XLK SOXX add a little when panic selling ALWAYS work
cybercash28,,2019-02-13 11:52:00,69.032,SPY QQQ XLK SOXX CALM down some profit taking NO big deal SOLID quality strong growth stks for LT UPTREND intact
cybercash28,,2019-02-13 11:44:00,68.949,WIX still holding strong QQQ XLK
k_m_k,False,2019-02-13 11:28:00,69.063,XLK looking pukey
cybercash28,,2019-02-13 11:23:00,69.085,AVLR up 18 and volume already 5X average daily volume QQQ XLK
Option_Wolf,,2019-02-13 10:57:00,69.177,See why were trading AMZN GOOG XLK CMG ATVI and others in our latest live webinar here youtubecomwatchvLVPphTf
cybercash28,,2019-02-13 10:43:00,69.274,TWLO upgrades with PT 150 and U sell people manipulated to push down so they can buy CHEAP See SHOP yday QQQ XLK
cybercash28,,2019-02-13 10:39:00,69.268,AYX ZS all green XSW HACK XLK
ChrisVermeulen,,2019-02-13 10:35:00,69.212,Tech stocks are trying to breakout and lead httpswwwthetechnicaltraderscomustechnologysectorsettingupforamomentumbreakoutmove XLK TECS REW ROM TECL AAPL AMZN LKND FB GOOG NFLX
Option_Wolf,True,2019-02-13 10:23:00,69.191,More upward action to come from these daily squeeze releases in some of XLK s strongest stocks GOOG GOOGL AMZN
cybercash28,,2019-02-13 10:21:00,69.13,AVLR Up over 16 on ER beat broke 50 level good setup QQQ XLK
cybercash28,,2019-02-13 10:07:00,69.162,TWLO will ad more if PB more UPTREND intact Insane growth EXCELLENT LT investment I add slowly XSW QQQ XLK
BEARINGT0N,,2019-02-13 09:56:00,69.264,ATVI XLK sold calls for a 40 profit dumped MO calls
SpideyTrader,,2019-02-13 09:42:00,69.353,SPYQQQDIA My Called XLK trade from 6814 rocking 50 left I will be a Seller on any weakness here 6940 Watch UVXY 4720 level
cybercash28,,2019-02-13 09:30:00,69.215,HUBS up 9 ATH XSW QQQ XLK
