BLUECHXP,,2019-02-13 14:20:00,172.899,FIDELITY MANAGEMENT REDUCES NVDA FB ATVI GOOGL IN 4Q 13FBOOSTS LIN PG AMT ABT
InsiderForms,,2019-02-13 13:44:00,172.98,Quadrature Capital Ltdhas filed Form 13F for Q4 2018Opened NEW positions in ADT AGNC ACHC ATVI AEM AA ATI AEP AIG AMT AWK ADI
InsiderForms,,2019-02-13 12:42:00,173.022,Peregrine Asset Advisers Inchas filed Form 13F for Q4 2018Opened NEW positions in AMT CLX DPZ FNCL GIS K SDS SRE TNDM VMW XLNX
