sleekoptions_daytrade,False,2019-02-13 14:32:00,41.67,Update4 AEM Feb15 41 Puts Up 17 since alerted on Feb 12
InsiderForms,,2019-02-13 13:44:00,42.007,Quadrature Capital Ltdhas filed Form 13F for Q4 2018Opened NEW positions in ADT AGNC ACHC ATVI AEM AA ATI AEP AIG AMT AWK ADI
InsiderForms,,2019-02-13 13:44:00,42.007,FEDERATED INVESTORS INC PAhas filed Form 13F for Q4 2018Opened NEW positions in AMC ASX FAX ARAY AKAO AEM AIRG ALLO AIMC PLAN
