risenhoover,,2019-02-13 13:09:00,100.314,FMR LLC Fidelity has filed an amended 13GA reporting 1271 ownership in SNX httpsfinteliosoussnx
cctranscripts,,2019-02-13 13:06:00,100.15,Statement of acquisition of beneficial ownership by individuals conferencecalltranscriptso SNX
livetraderalerts,,2019-02-13 12:15:00,100.3,SNX 104m ago SEC Amended Beneficial Ownership Report SC 13GA SYNNEX CORP secgovArchivesedgardata
cctranscripts,,2019-02-13 10:54:00,99.984,The Vanguard Group just provided an update on share ownership of Synnex Corporation conferencecalltranscriptso SNX
livetraderalerts,,2019-02-13 10:45:00,99.938,SNX 21m ago SEC Amended Beneficial Ownership Report SC 13GA SYNNEX CORP secgovArchivesedgardata
