DumpDatPump,,2019-02-13 13:36:00,0.96,AIPT lmao bulls disappointment
andycoolbeans,,2019-02-13 10:14:00,0.95,MOSY profits to OHGI AIPT AGRX GURE DCAR GURE
andycoolbeans,,2019-02-13 10:11:00,0.95,AIPT havent really been paying that close attention but they stayed over 1 long enough to get compliance
