cctranscripts,,2019-02-13 12:25:00,1.315,Statement of acquisition of beneficial ownership by individuals conferencecalltranscriptso INFI
livetraderalerts,,2019-02-13 12:02:00,1.333,INFI 63m ago SEC Amended Beneficial Ownership Report SC 13GA INFINITY PHARMACEUTICALS INC secgovArchivesedgardata
BioCat,True,2019-02-13 11:46:00,1.32,INFI This is the best kept secret until P2 Efficacy
BioCat,True,2019-02-13 11:43:00,1.32,INFI This should be 300 now with all the advancements taking place not including any Royalties from Copiktra Silly valuation here
BioCat,True,2019-02-13 11:41:00,1.315,INFI Also front line beginning with RCUS and most importantly P2 Urothelial with HIGH MDSCs the key BIOMARKER for IPI549 going forward
BioCat,True,2019-02-13 11:39:00,1.33,INFI It may have slipped past investors but point out 7 combos with Opdivo are still not complete till 2H 2019 2 are EXTENDED
1stOfficerStock,True,2019-02-13 09:56:00,1.292,INFI If youve read all the research papers you also know that 1st line chemo combos with IPI549 are going to be better than IO combos
1stOfficerStock,True,2019-02-13 09:41:00,1.31,INFI This what a real DD looks like and why I know the JPM and WF analysts where full of shit
1stOfficerStock,True,2019-02-13 09:39:00,1.31,INFI This what a real DD looks like and why I know the JPM and WF analysts where fill of shit
