JustALittleFish,,2019-02-13 14:11:00,29.963,XRX My guess is this will most likely see 25 level by Mid March
StockPlaza,,2019-02-13 12:07:00,30.218,XRX Forward PE is 78 per Yahoo Any PE firm can easily justify 10 to 12x in a buyout
StockPlaza,,2019-02-13 10:42:00,30.3,XRX Wow at continued uptrend why sell when this is going up daily wait for trend reversal somebody knows something accumulating
