sevenxs,,2019-02-13 15:48:00,0.4156,ISR
Sprinklz,True,2019-02-13 15:41:00,0.4156,ISR looks like were finishing a hell of a lot stronger than we started
thesunnyone,,2019-02-13 15:35:00,0.42,ISR Want to look at a beautiful thing CLPA Tseng Labs Thats how small caps roll 38 cents to 81 dollars without a product ISR has one
ChartMill,,2019-02-13 15:35:00,0.42,Although the technical rating is only medium ISR does present a nice setup opportunity chartmillcomanalyzephpu
thesunnyone,,2019-02-13 15:33:00,0.42,ISR SMALL BIOs raise capital by selling shares or subordinated debtwhich is deathsell shares cheapest way 67 m shares is nothing
JDinvestments,True,2019-02-13 15:32:00,0.42,ISR as far as I can tell the sad little basher is long Care to clarify you filthy animal lie cheat steal tell us jjohn You wont
Widgets,,2019-02-13 15:31:00,0.42,ISR the idiot jdi get rich good lord if people listen to these idiots you deserve to lose everything you have mgt laughing to bank
JDinvestments,True,2019-02-13 15:30:00,0.42,ISR 41951 no manipulation lol
JDinvestments,True,2019-02-13 15:29:00,0.42,ISR jjohn and his hand puppet widget the mental midget for all its bashing GREEN since they joined just saying lol
Widgets,,2019-02-13 15:27:00,0.42,ISR snake oil salesmen like longsw just keep buying Hawaii Explode retire to the moon 32 get richwhat a bunch of fn morons
jjohn1971,,2019-02-13 15:25:00,0.42,ISR Pumpers Please explain why I was so wrong about ER WaitI was absolutely right
LongSwinging,,2019-02-13 15:23:00,0.42,ISR Cant hide desperation Something longs dont have Just keep buying
mpbc,,2019-02-13 15:15:00,0.42,ISR Prattipati Laxminarain Mara Aspinall Matt Likens Lets hear more from these folks an let LW crawl back under a rock
LongSwinging,,2019-02-13 15:12:00,0.42,ISRMore and more 100 Taking market from iodine and palladium
Crabbin,True,2019-02-13 15:08:00,0.4195,ISR glad I was able to grab a few more at these levels
JDinvestments,True,2019-02-13 15:07:00,0.4195,ISR 40 46 no diff for me locked and loaded sell sell sell lol or should I say short life as a LONG
CuddleBunny,,2019-02-13 15:01:00,0.42,ISR twittercomisoraystatus1
LongSwinging,True,2019-02-13 14:57:00,0.4188,ISR Thanks Johnny Johnson
Alacrity2,,2019-02-13 14:47:00,0.4112,ISR wow I remember those highlighted areas I need a life IsR can not be my idol booksgooglecombooksabou
Alacrity2,,2019-02-13 14:43:00,0.4199,ISR 13 million dollars somewhere along the line three million more appeared and have treated 120 brain cancer Beautiful being LONG crunchbasecom
LongSwinging,True,2019-02-13 14:39:00,0.4199,ISR Your choice Buy at 42 A great dealOr sell at 4199 unimaginable
TonyKLestor,,2019-02-13 14:21:00,0.4199,ISR Funny how people here are tempted You cant even get that out of ISR execsinsiders Must not be tempted for a reason
Widgets,,2019-02-13 14:17:00,0.4199,ISR with 66 million outstanding shares 1M shorts very small can cover whenever they want to ISR so bad it drives itself down
young_Bidness,,2019-02-13 13:55:00,0.419,ISR oh krachon got a raise
jcljack25,True,2019-02-13 13:54:00,0.419,ISR Krachon got a raise obviously they are pleased with his results
yborcat,,2019-02-13 13:51:00,0.42,ISR i will start adding next weekright now im transferring funds into my account
jcljack25,True,2019-02-13 13:49:00,0.42,ISR Passed tempted I am adding
josephfuller,,2019-02-13 13:36:00,0.4102,ISR Extremely Tempted
WallStreetCub,True,2019-02-13 13:27:00,0.411,ISR tempted to add now
Upperwards,,2019-02-13 13:21:00,0.4111,ISR if youre going to push the price down at least fill my buy order
CuddleBunny,True,2019-02-13 13:21:00,0.4111,ISR we have now gone from 860 to 884 with more to report
CuddleBunny,True,2019-02-13 13:19:00,0.4115,ISR Raymond James Financial 1231 17500 no change State Street 1231 10577 no change with more reports coming in
LongSwinging,True,2019-02-13 13:18:00,0.42,ISR Professionals Research And Time are in favor of Longs Let them give away shares for the short term illusion I got my share
CuddleBunny,,2019-02-13 13:18:00,0.42,ISR Northern Trust 1231 no change 124577 shares Bank of New York Mellon 1231 67416 shares no change TMD Assoc 1231 20000 no change
Widgets,,2019-02-13 13:16:00,0.42,ISR Im taking longsw and sunny today as I said would happen Listen idiots LOL
thesunnyone,True,2019-02-13 13:16:00,0.42,ISR WEAK HANDS FOLD Accumulate going lower by the way so smile company moving forward not worried about widgets and penny jackoffs
CuddleBunny,True,2019-02-13 13:14:00,0.42,ISR Hot off the Press Highland Private Wealth Management 1231 New 130000 shares
Sprinklz,True,2019-02-13 13:13:00,0.4101,ISR RGSE doing what ISR should be doing right now Go figure
young_Bidness,,2019-02-13 13:00:00,0.4123,ISR Im just gunna wait and see how the week plays out Very very small position anyway
young_Bidness,,2019-02-13 13:00:00,0.4123,ISR if I were a cancer research company I would not give a rats ass about the investors
carepolice,,2019-02-13 12:57:00,0.4125,ISR stop mentioning GT its limited commercial launch is delayed to last Q of this year Take a look at costs they have been increasing QoQ
LongSwinging,True,2019-02-13 12:56:00,0.42,ISR Revenue is growing exponentially now AND THEY KNOW IT Going beyond Iodine
LongSwinging,True,2019-02-13 12:54:00,0.42,ISR The shorts logic is that he can cover 1m shares by shorting more Not gonna happen Hold tight or buy
jcljack25,True,2019-02-13 12:45:00,0.4104,ISR I may add today and get over that 100k Mark
LongSwinging,True,2019-02-13 12:40:00,0.42,ISR New guys Dont use stops They will get you every time Be smart research This is gold
Widgets,,2019-02-13 12:38:00,0.42,ISR panic mode shorts made an easy 8 today thank to you idiot pumpers LOL vacation paid for thanks longsw
al_smith,,2019-02-13 12:38:00,0.42,ISR Dont feel bad new bagholders a while back a pro money mgr bought this dogchit for 75 I saw him begging on a streetcorner recently
LongSwinging,True,2019-02-13 12:36:00,0.42,ISR Over and out guys Good luck The short is in panic mode
VolumeBot,,2019-02-13 12:34:00,0.42,Aggregate short volume reported to FINRA for ISR was 52917 on 021219 volumebotcomsISR
Widgets,,2019-02-13 12:30:00,0.4101,ISR welcome to ISR hell at the mercy of cushy mgt salaries offerings see last year shorts and CEOs who give minimal updates enjoy
Sprinklz,True,2019-02-13 12:30:00,0.4101,ISR lower volume over here today making it Easy Pickins for the shorts
LongSwinging,,2019-02-13 12:30:00,0.4101,ISR Im fixin to sell my cvs and get me some
LongSwinging,True,2019-02-13 12:27:00,0.416,ISR Someone struck a nerve
LongSwinging,True,2019-02-13 12:25:00,0.4195,ISR WOW THANK YOU
Wrangler66,,2019-02-13 11:55:00,0.4316,ISR breakeven take it good luck
00bama00,False,2019-02-13 11:53:00,0.4324,ISR lol So hilarious Stupid pumper liars
Widgets,,2019-02-13 11:51:00,0.4324,ISR celebrate longsw down 10 after record numbers LOL what a fn idiot and pumper no matter what this stock is toast
young_Bidness,,2019-02-13 11:48:00,0.43,ISR woo baby
Widgets,,2019-02-13 11:47:00,0.4101,ISR ISR bashes itself better than anyone here
jjohn1971,,2019-02-13 11:27:00,0.45,ISR Retail wont wait around from qtr to qtr to gain 300k in sales This will fade with no other news on the horizon
jjohn1971,,2019-02-13 11:27:00,0.45,ISR Next up on the horizon another offering to fulfill the options from the last one Look for PPS to pop for 15 minutes to capture it
jjohn1971,,2019-02-13 11:26:00,0.45,ISR Looks like just another nonevent in a long line of nonevents for Isoray Shareholders are stuck waiting and diluting
jjohn1971,,2019-02-13 11:24:00,0.45,ISR Shorts definitely shatting their pants as this busts through 100 oh wait you mean its not going anywhere
Sprinklz,True,2019-02-13 11:17:00,0.45,ISR needs to rock like rgse We got shorts trapped and squeeze over There
LongSwinging,True,2019-02-13 11:17:00,0.45,ISR I see the clowns are very busy today Ill check you later Have a good day Aloha
SuperDuperDave,,2019-02-13 11:14:00,0.4401,ISR gonna ride this one to the end It will pay off
mpbc,,2019-02-13 11:13:00,0.4401,ISR This is what happens with great results and a dimwit who refuses to provide guidance Come on Lkens lets get rid of this one too
makeithappen,,2019-02-13 11:11:00,0.4401,ISR How about they open up the questions to the stockholders so we can get some real answers in real time and see how full of BS they are
makeithappen,,2019-02-13 11:10:00,0.4499,ISR TBH the conference calls are a joke Pre written statements followed by two shitty questions from an analyst and that concludes it
Widgets,,2019-02-13 11:07:00,0.45,ISR longsw what is your flight number to Hawaii Ill pick you up at airport While ISR drip down celebrate shorts
Widgets,,2019-02-13 11:05:00,0.45,ISR maybe you saps will figure out to vote no on the next BoardCEO vote not much faith in mgt here
Sprinklz,True,2019-02-13 11:00:00,0.4491,ISR by the way the buys and sells are lining up Id say were probably going to finish in the green
tryyourluck,True,2019-02-13 10:59:00,0.4499,ISR trading under 1 dollar for a long time nasdaq requirement is to maintain it over 1 dollar will they rs this stock any time soon
LongSwinging,True,2019-02-13 10:50:00,0.4402,ISR Covering over a million short shares will be easy the bashers said Yes But not under 1
morty104,,2019-02-13 10:49:00,0.4402,ISR here we go with the bs
mpbc,,2019-02-13 10:35:00,0.4401,ISR Anyone know Robert Muellers I need to have a CEO impeached
2bellatrader,,2019-02-13 10:34:00,0.4401,ISR i will add and hold The science is excellent just need to sell and grow
Auspex,True,2019-02-13 10:34:00,0.4401,ISR each quarter seems to garner more attention so expect increased volume and some more folks taking healthy positions after due diligence
ChartMill,,2019-02-13 10:34:00,0.4401,Based on estimates for the next 2 years ISR will show a very strong growth in EPS 2361 on average per year chartmillcomanalyzephpu
Watcher123,True,2019-02-13 10:29:00,0.4577,ISR I have no idea why you would sell here The next earnings are almost certainly going to be a lot better
LongSwinging,True,2019-02-13 10:29:00,0.4577,ISR Just breath block the clowns who live here And be enlightened Tremendous value here
jcljack25,True,2019-02-13 10:28:00,0.4577,ISR Still at 99k shares and not going anywhere Heading in the right direction
Auspex,True,2019-02-13 10:26:00,0.45,ISR downside seems limited 510 and short lived Rewardupside 50 gain into the 60s seems plausible this quarterGT launch Q2 or Q3
LongSwinging,,2019-02-13 10:25:00,0.4582,ISR You can buy quite a lot at 46 now
josephfuller,,2019-02-13 10:22:00,0.4599,ISR Not A Bad Buy There
Widgets,,2019-02-13 10:18:00,0.46,ISR cant spell bullshit without bullish makes sense they are so similar for this stock
Widgets,,2019-02-13 10:13:00,0.4549,ISR mgt has all patience in world more than sh with cushy salary and they can just do another offering like last year screwing sh
Widgets,,2019-02-13 10:11:00,0.4549,ISR when does longsws flight for Hawaii take off to celebrate down day after earnings Aloha
thesunnyone,,2019-02-13 10:07:00,0.4524,ISR ACCUMULATE day trading pennies is a losing trade besides all the bullshit you hear shorts etcBULLSHIT Just buy hold and wait
TonyKLestor,,2019-02-13 10:06:00,0.452,ISR Whatever happened to all those insiders scrammbling to buy shares Wheres that bozo from yesterday who said shorts were scared LMAO
young_Bidness,True,2019-02-13 10:05:00,0.452,ISR up 15 for the month And broke about even for the quarter Above expectations
Widgets,,2019-02-13 10:04:00,0.452,ISR like a graveyard here today all of the carnival barkers are quiet
Widgets,,2019-02-13 10:03:00,0.4525,ISR the short position is small Price action has shown shorts can cover whenever they want to thanks to ISR CEOmgt
Sprinklz,True,2019-02-13 10:00:00,0.4525,ISR well its good to know that Zachs is taking up a short position Lol
LongSwinging,True,2019-02-13 10:00:00,0.4525,ISR Robotics are used to apply Isorays sutured meshyoutubecomwatchvXQqfG4
Widgets,,2019-02-13 09:59:00,0.4525,ISR wow dead as a doornail and fading Lets go to Hawaii Get Rich Retire Explode LOL Silly pumpers
young_Bidness,True,2019-02-13 09:57:00,0.4525,ISR bull Ish
LDRunner,,2019-02-13 09:51:00,0.45,ISR Instead of worrying about ISR buy BCCIit is only 4 cents a sharehemp coffee RelaxISR is going anywhere for awhile maybe never
thesunnyone,,2019-02-13 09:51:00,0.45,ISR no your dealing with an isotope
Watcher123,True,2019-02-13 09:50:00,0.45,ISR The Zacks post didnt help Personally I think there recommendation is nonesense since it didnt take guidance into account at all
jcljack25,True,2019-02-13 09:49:00,0.4429,ISR Anyone know if these robotics are compatible with our products thestreetcominvestingsto
Widgets,,2019-02-13 09:44:00,0.4452,ISR and there it goes red told ya red was coming
Widgets,,2019-02-13 09:43:00,0.4452,ISR as I said yesterday watch it close down cant even move with their best numbers yet says something about faith in mgt
jcljack25,True,2019-02-13 09:37:00,0.4372,ISR Day after earnings and 2k shares traded in opening minutes That is bizarre
filourobber,,2019-02-13 09:36:00,0.4356,ISR is this halted
TonyKLestor,,2019-02-13 09:35:00,0.4356,ISR LMAO
jcljack25,True,2019-02-13 09:35:00,0.4356,ISR While we did not get Earth shattering news yesterday I was very pleased with the results and very confident in this stock
LongSwinging,,2019-02-13 09:34:00,0.434,ISRAs expected But I dont think they will finish filling this order Johnnys Just pecking at it BULLISH
