Ancient_Warrior,,2019-02-13 15:19:00,4.83,CX mpolo Looking for a 477 and lower entry
mpolo,True,2019-02-13 09:41:00,5.05,CX March 20 CEMEX DAY Share Buyback Divestments 12BILLION expected noncore asset sales
mpolo,,2019-02-13 09:39:00,5.041,CX ShareRepurchases in effect until 2020 CEMEX Day is March 20 look out for more SRs and asset sales heading to this meeting
