sleekoptions_daytrade,True,2019-02-13 15:12:00,77.381,Update30 A Feb15 725 Calls Up 246 since alerted on Jan 16
InsiderForms,,2019-02-13 14:42:00,77.14,ELEMENT CAPITAL MANAGEMENT LLChas filed Form 13F for Q4 2018Opened NEW positions in AGCO MITT ANGI T ABBV ABMD A ALK ARE MDRX
taguru,,2019-02-13 13:21:00,77.043,A Agilent Technologies A 7707 soars 22 and reaches a 3month high tickeroncomeventid607786
InsiderForms,,2019-02-13 12:10:00,76.955,MainStreet Investment Advisors LLChas filed Form 13F for Q4 2018Opened NEW positions in A APD ITW DVY ACWI MUB MPC NKE WMT ZTS
InsiderForms,,2019-02-13 11:45:00,76.758,GODSEY GIBB ASSOCIATEShas filed Form 13F for Q4 2018Opened NEW positions in AMLP A CI CLX DVY IEZ SCHX SCHD VIG VNQ VTI
InsiderForms,,2019-02-13 10:41:00,77.293,ALLSTATE CORPhas filed Form 13F for Q4 2018Opened NEW positions in ABM AFL ABT ABBV ATVI ADBE ASIX AMD AMG A APD ALB AA ALXN
