TI7812,True,2019-02-13 14:53:00,66.076,APPF starting its move up ahead of ER 2 wks away
InsiderForms,,2019-02-13 14:42:00,65.935,Flinton Capital Management LLChas filed Form 13F for Q4 2018Opened NEW positions in ALNA PLAN APLS APPF ACA ARNA ARR ARRY ARVN
InsiderForms,,2019-02-13 14:12:00,65.49,Pier Capital LLChas filed Form 13F for Q4 2018Opened NEW positions in APPF AAWW CASY CCS DXCM EGHT ESE EB EXAS FEYE FIVN FND
InsiderForms,,2019-02-13 13:44:00,65.53,Skye Global Management LPhas filed Form 13F for Q4 2018Opened NEW positions in PLAN APPF CHDN FB GWRE OKTA SHOP TWLO TWTR WWE
EstimizeAlerts,,2019-02-13 10:45:00,66.04,Wall St is expecting 5378 revenue for APPF Q1 Reporting 0429 AMCestimizecomintroappfcha
EstimizeAlerts,,2019-02-13 09:57:00,65.76,Wall St is expecting 2704 YoY revenue growth for APPF in Q4 down from 3225 in Q3 Reporting 0228 AMCestimizecomintroappfcha
FlynancialAnalyst,True,2019-02-13 09:40:00,66,APPF niche product for smallmid level real estate leasing i believe launch pad
