Financhill,,2019-02-13 13:15:00,155.29,CLX is rated a Buy since January 31 2019 and is 22 above its median level financhillcomsearchstock
InsiderForms,,2019-02-13 12:42:00,155.033,Peregrine Asset Advisers Inchas filed Form 13F for Q4 2018Opened NEW positions in AMT CLX DPZ FNCL GIS K SDS SRE TNDM VMW XLNX
InsiderForms,,2019-02-13 12:42:00,155.033,Richard C Young CO LTDhas filed Form 13F for Q4 2018Opened NEW positions in SIVR AVA CLX CL HSY EWD IVV IYE MSFT XLE VIG
InsiderForms,,2019-02-13 11:45:00,155.025,GODSEY GIBB ASSOCIATEShas filed Form 13F for Q4 2018Opened NEW positions in AMLP A CI CLX DVY IEZ SCHX SCHD VIG VNQ VTI
Brice33,True,2019-02-13 09:47:00,155.365,CLX 4HR
