chris333,,2019-05-30 12:22:00,0.8502,MVIS MicroVision Ladenburg Technology Expo 2019 Presentation phxcorporateirnetExtern
fritokalo,,2019-05-30 11:26:00,0.877,MVIS you really have to wonder what the point of these conferences is They have nothing new to say Just repeating the same BS They really ought to read the story of the Boy Who Cried Wolf Nobody will believe what they say until revenues appear on the income statement
fritokalo,,2019-05-30 10:06:00,0.8509,MVIS todays Ladenburg conference will be another nothingburger or more accurately a shit sandwich for shareholders Expect to hear words like we believe tier 1s have expressed interest etc
