CGCtrader,,2019-05-30 15:57:00,1.19,JMU Im in I like this stock here
LKS1234,,2019-05-30 12:00:00,1.11,JMU I remember priceline went from few dollars to 100 dollars after Li Kashings firm invested in it
LKS1234,,2019-05-30 11:58:00,1.11,JMU why is he not selling at 190 earning 19 times his initial investment but instead put his own unicorn investment ltd into it to increase his stake to almost 50
LKS1234,,2019-05-30 11:55:00,1.11,JMU is Haohan Xu a software engr by profession or does he work as investment analyst Why is he taking so much interest in this stock
11B,True,2019-05-30 09:45:00,1.102,JMU adding more
