Meeliz,True,2019-05-30 15:28:00,47.055,MPC per se
stasdelaware,,2019-05-30 15:05:00,47.145,MPC looks like unlimited supply of shares to short it Any uptick is getting sold hard
GregoTop,True,2019-05-30 14:52:00,47.116,MPC Well I see hanging out in the 4647 range I am long term so I like cheap price to own more for when this runs back up
GregoTop,,2019-05-30 14:21:00,47.174,MPC what a brutal month of May
stasdelaware,,2019-05-30 14:04:00,47.427,MPC management needs to explain the lack of buybacks 20 in cap value in 1 month
GregoTop,,2019-05-30 13:46:00,47.193,MPC WOW way oversold for month of May big selling pressure unfortunately
danielrobertson,True,2019-05-30 12:47:00,47.459,PBF below book value a profitable company Slim Buying 46000000 at 2826 Would you buy MPC VLO DK HFC
Ze_Burgandy,True,2019-05-30 11:57:00,47.183,MPC Need a close above 47hopefully
Josantium,False,2019-05-30 11:36:00,47.321,MPC Looking for entry at 3000
danielrobertson,,2019-05-30 11:34:00,47.274,PBF which is a better gift right now VLO MPC PBF
kumarrrr,,2019-05-30 11:31:00,47.248,MPC finally target achieved and could go up from today low Imo this will trade between 4752 for 12months before next leg up if it cant hold 47 then i think we can see 3335 also
mTOR,,2019-05-30 11:29:00,47.191,MPC unbelievable Thought I caught the knife
asulog,,2019-05-30 11:28:00,47.18,MPC going out of business
Turtletrading,,2019-05-30 11:26:00,47.258,MPC Marathon Petroleum MPC 4899 drop 20 over the last 3 months tickeroncomeventid14342
zalemkapital,,2019-05-30 11:21:00,47.442,MPC woahhhhhh
danielrobertson,True,2019-05-30 11:18:00,47.478,MPC This way overdone Somebody wants this lower to accumulate below book value
Scalper123,,2019-05-30 11:17:00,47.531,MPC insert scratching head emojii
Ze_Burgandy,True,2019-05-30 11:01:00,47.605,MPC Still waiting for this bottom
GregoTop,,2019-05-30 10:54:00,47.727,MPC Where is the bottom man keeps experiencing new lows
dedigans,,2019-05-30 10:52:00,47.773,MPC acquisition of ANDVANDX 23B investment in MPLX 16B not even factoring in IDRs 39B Whats MPCs current market cap 32B Disgusting So legacy MPC refining and retail 7B
Ze_Burgandy,True,2019-05-30 10:49:00,47.922,MPC Waiting for this to slide just a bit more and then adding All it takes is one dumb decision by Iran or Trump and this pops
DBarbour1982,,2019-05-30 10:47:00,47.96,MPC I just dont get it
zalemkapital,,2019-05-30 10:39:00,48.097,MPC couldnt get the shoes i wanted today and this price is looking pretty good right now guess Ill add more
GregoTop,True,2019-05-30 10:37:00,48.101,MPC Man this has got to stop being the qtr top loser unless it suddenly runs Friday I dont expect anything significant unless a surprise pop Looking towards June now
dedigans,False,2019-05-30 10:37:00,48.101,MPC when you factor in IDRs MPCs market cap is basically its ownership in MPLX and ANDX right now No value to largest US refining business and retail business Management should be fired
taguru,,2019-05-30 10:33:00,48.153,MPC Marathon Petroleum MPC 4899 was this quarters top loser falling 20 tickeroncomeventid14290
Ze_Burgandy,True,2019-05-30 10:27:00,48.113,MPC Adding under 48
Turtletrading,True,2019-05-30 10:19:00,48.159,Marathon Petroleums MPC Aroon Indicator entered an Uptrend on May 29 2019 View odds of uptrend tickeroncomeventid14096
dedigans,False,2019-05-30 10:12:00,48.48,MPC this stock is the biggest POS Shouldve cut bait after earnings and Gary begging WS on the conf call
