TX_Trader1,,2019-05-30 12:56:00,2.372,MDGS whats going on yesterday and today lot of selling
bullsssss,True,2019-05-30 12:36:00,2.395,MDGS financeyahoocomnewsmedi
bullsssss,True,2019-05-30 12:34:00,2.395,MDGS they set they will get multimillion through this
bullsssss,True,2019-05-30 12:33:00,2.395,MDGS they will soon release the PR for licensing or sale for compuflowwhich they say they were in advance discussion in December
bullsssss,True,2019-05-30 12:31:00,2.4,MDGS MDGS will be next ELTK patience
