ChartMill,,2019-05-30 14:31:00,13.85,BILI has a bad technical rating but it does show a decent setup pattern chartmillcomanalyzephpu
Turtletrading,,2019-05-30 11:36:00,13.95,BILI Bilibili BILI 1378 was this quarters top loser falling 27 tickeroncomeventid14296
taguru,,2019-05-30 11:05:00,13.982,BILI Bilibili BILI 1378 drop 27 over the last 3 months tickeroncomeventid14345
Turtletrading,,2019-05-30 10:02:00,14,BILI Bilibili BILI 1378 was the months biggest loser shedding 22 tickeroncomeventid14272
Turtletrading,,2019-05-30 09:59:00,14.01,BILI Bilibili BILI 1378 was this weeks top stock market loser declining 6 Expect a Downtrend reversal tickeroncomeventid14312
