JohnnyBreuer,,2019-05-30 15:58:00,1.935,SELB Oh wow this thing is really tanking
PTInvestments,,2019-05-30 13:12:00,1.99,SELB Looks like all stoplosses are hit the tree is shaken Time to cover back up
PTInvestments,,2019-05-30 12:19:00,2.03,SELB I swear this is how flippers are trading this
PTInvestments,,2019-05-30 11:53:00,2.065,SELB SSR is activated so shorts can only put pressure on the ask instead of selling at bid dropping the price Some morons see the ask pressure and give up their shares for cheap instead of buying cheap from shorts SMH
SumYoungGuy,,2019-05-30 11:34:00,2.07,SELB what is your 1 week PT
SumYoungGuy,True,2019-05-30 11:04:00,2.073,SELB bounce back to 225 incoming
Stockjitsu,True,2019-05-30 10:48:00,2.07,SELB LoL nailed it wthe explanations yesterday who now thinks this isnt str8 accumulationfront loading
