Senko_San,,2019-05-30 13:49:00,111.77,AWK whoa faded
ChartMill,,2019-05-30 12:41:00,111.936,Possible swing trading patterns are detected for AWK WP and NEE by our stock screener chartmillcomstockscreener
ChartMill,,2019-05-30 10:01:00,112.206,ENPH AWK and NEE are amongst the strongest stocks in the market nearing a new high chartmillcomstockscreener
