InexperiencedExpert,,2019-02-28 15:31:00,11.009,COTY not sure why I continue to fuck with this garbage
kaismaalej,False,2019-02-28 14:06:00,11.025,COTY Falling below 1100 and from them down down down down
kaismaalej,False,2019-02-28 13:49:00,11.034,COTY NO ONE IS BUYING THIS JUNK STOCK EVEN AT THIS LOW PRICE HAHAHAHAHAHAH
kaismaalej,False,2019-02-28 12:59:00,11.032,COTY Tender offer will be rejected and price will drop to 900
kaismaalej,False,2019-02-28 09:38:00,11.03,COTY JAB HOLDING have been pumping the stick for two years and the stock keeps going down down down down
