StockTrader234,,2019-02-28 15:59:00,10.404,PRTY Bad ER VOL spikes Could move into Over Sold range quickly After the falling knife
EstimizeAlerts,,2019-02-28 14:54:00,10.489,PRTY reported 29 Brand Comparable Sales for Q4estimizecomintroprtycha
EstimizeAlerts,,2019-02-28 14:24:00,10.669,PRTYs Brand Comparable Sales is a key growth metric for their next report on 0508 BMO Will they beat last quarters 29 Brand Comestimizecomintroprtycha
EstimizeAlerts,,2019-02-28 13:39:00,10.477,PRTY reported 10714 YoY growth in Brand Comparable Sales for Q4estimizecomintroprtycha
EstimizeAlerts,,2019-02-28 12:24:00,10.78,PRTY reported 29 Brand Comparable Sales for Q4estimizecomintroprtycha
EstimizeAlerts,,2019-02-28 11:10:00,11.107,PRTY reported YoY growth in Brand Comparable Sales for Q4estimizecomintroprtycha
EstimizeAlerts,,2019-02-28 09:57:00,11.12,PRTY reported Brand Comparable Sales for Q4estimizecomintroprtycha
BullBearCharts,False,2019-02-28 09:42:00,10.79,BOX FIT HPQ TDOC UCON CPHI PRTY WSR ESTC SKY AYX HUSA LB ABEV SQ LODE MLSSNYSE Open Gap Downbullbearchartsblogspotcom
cubie77,,2019-02-28 09:41:00,10.799,PRTY no Party here today crazy 401 puts yesterday sorta of a tell
trade_nut,,2019-02-28 09:31:00,10.885,StocksToWatch JCP HZNP PRTY SEAS BID WU CELG HPQ BOX SQ BKNG LB TSLA FIT KKR AAPL LUV BB JD RKDA WIFI TDOC WBC CVNA
