Omgwtfman,True,2019-02-28 11:55:00,0.555,CBK JCpenny beat expectations retail stores are showing better than expected earnings
Bulldogs79,True,2019-02-28 11:45:00,0.5505,CBK Stock price traded up to 61 9500 traded above 60 trending up Shorts are trying to stop the trend but they will get squeeze IMO
Bulldogs79,,2019-02-28 10:18:00,0.563,CBK Its official CBK price is now trending up the uptrend line crossed the downtrend line Should now run to 108110
