dumpsterdive,True,2019-02-28 11:23:00,5.025,TRVG Remember suppliers need 3rdparty sites more and consumers shop around more in a downturn
InvestmentAnalyst,,2019-02-28 11:14:00,4.97,TRVG Other than BKNG spillover could weakness be attributed to insider program selling
InvestmentAnalyst,True,2019-02-28 10:46:00,5.087,TRVG New York federal judge has granted Trivago NVs bid to dismiss an investor suit
emeraldbayrider,,2019-02-28 10:33:00,5.08,TRVG On BKNG conf call they emphasized performance channel is now working wellROI for them they will cont use to support solid growth
InvestmentAnalyst,True,2019-02-28 09:40:00,5.181,TRVG Recent results suggest that large clients need Trivago more than acknowledged Largest most meaningful funds remain long and strong
