mpolo,True,2019-01-14 12:30:00,30.7,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""EGO"" href=""/symbol/EGO"" id=""EGO-150565513-280"">$EGO</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ELD.CA"" href=""/symbol/ELD.CA"" id=""ELD-CA-150565513-281"">$ELD.CA</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""DGC.CA"" href=""/symbol/DGC.CA"" id=""DGC-CA-150565513-282"">$DGC.CA</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""GG"" href=""/symbol/GG"" id=""GG-150565513-283"">$GG</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""NEM"" href=""/symbol/NEM"" id=""NEM-150565513-284"">$NEM</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ABX"" href=""/symbol/ABX"" id=""ABX-150565513-285"">$ABX</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""GOLD"" href=""/symbol/GOLD"" id=""GOLD-150565513-286"">$GOLD</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""GDXJ"" href=""/symbol/GDXJ"" id=""GDXJ-150565513-287"">$GDXJ</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""GDX"" href=""/symbol/GDX"" id=""GDX-150565513-288"">$GDX</a></span> 🛫🛫</div></div>"
YellowRock,False,2019-01-14 10:25:00,30.789,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GDXJ"" href=""/symbol/GDXJ"" id=""GDXJ-150546107-352"">$GDXJ</a></span> daily macd bearish cross over happening now ? Miners front running gold top here</div></div>"
YellowRock,False,2019-01-14 10:05:00,30.868,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GDX"" href=""/symbol/GDX"" id=""GDX-150542555-355"">$GDX</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""GDXJ"" href=""/symbol/GDXJ"" id=""GDXJ-150542555-356"">$GDXJ</a></span> price action today suggests more downside p:b atleast to 200 dma</div></div>"
