quaintsow1,True,2019-01-15 12:22:00,47.96,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""MO"" href=""/symbol/MO"" id=""MO-150691208-17"">$MO</a></span> considering taking some gains from winners <span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150691208-18"">$CGC</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ETSY"" href=""/symbol/ETSY"" id=""ETSY-150691208-19"">$ETSY</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""SQ"" href=""/symbol/SQ"" id=""SQ-150691208-20"">$SQ</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""SPOT"" href=""/symbol/SPOT"" id=""SPOT-150691208-21"">$SPOT</a></span> and just keep stashing it here, long term</div></div>"
TheManiac,True,2019-01-15 12:20:00,47.926,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CRON"" href=""/symbol/CRON"" id=""CRON-150690917-24"">$CRON</a></span> worth 1.8b before the rumor was even announced. its only at 2.44b. so they lose 1.2b in value since major <span><a data-event=""click"" data-for=""cashTag"" data-tip=""MO"" href=""/symbol/MO"" id=""MO-150690917-25"">$MO</a></span> deal of 1.8b lol EZ BUY!</div></div>"
TheManiac,True,2019-01-15 11:04:00,47.976,"<div class=""MessageStreamView__body___2giLh""><div>Watch. <span><a data-event=""click"" data-for=""cashTag"" data-tip=""CRON"" href=""/symbol/CRON"" id=""CRON-150676249-34"">$CRON</a></span> will be down all day until the conference at 4pm when they announce something big with <span><a data-event=""click"" data-for=""cashTag"" data-tip=""MO"" href=""/symbol/MO"" id=""MO-150676249-35"">$MO</a></span>/JUUL, Ginkgo, or Cura license canada</div></div>"
