sleekOptions,True,2019-02-07 14:34:00,36.3,AAL Last two months 14 winners and 4 losers
RalphCanine,,2019-02-07 13:28:00,36.36,AAL SAVE HA are green LUV JBLU DAL are close to green UAL this are the laggards in airlines so far but could turn around before EOD
EstimizeAlerts,,2019-02-07 13:24:00,36.38,Heres what 9 Estimize analysts believe AAL will report for Q1 2019 EPS Reporting 0425 BMOestimizecomintroaalchar
RalphCanine,,2019-02-07 12:01:00,36.083,AAL oil dropping hard down 3
CalStockPicker,,2019-02-07 11:58:00,36.16,Possibility of another government shutdown bad for airlines short term DAL AAL UAL SAVE LUV JBLU
gt44,False,2019-02-07 11:29:00,36.12,AAL Parkers estimate is off somewhere around 190M to 1B how blind are you Doug
gt44,False,2019-02-07 11:26:00,36.206,AAL in 2018 AAL reported a profit of 28billion including net special items or 19billion excluding them
gt44,False,2019-02-07 11:25:00,36.212,AAL In 2017 DP said the airline would make an avg of 5 billion per year and in an off year would only achieve a profit of 3 billion
gt44,False,2019-02-07 11:15:00,36.272,AAL this co has no visionzero innovationno motivation to be better Extreme disappointment will be felt
DRBOTTS,,2019-02-07 11:15:00,36.272,AAL Management is a disaster debt is too high
gt44,False,2019-02-07 11:13:00,36.35,AAL last time DP you took pride in not accepting bail out moneyregretted that decision and went back begging for a change of heart
gt44,False,2019-02-07 11:12:00,36.377,AAL your employees hate working on your financedto 2023planes enjoy swimming in debt soon enough youll gladly accept govt bail out
gt44,,2019-02-07 11:10:00,36.325,AAL pilot and flight attndnt union contract negs ramping up they wont be asking for less pilot union asked over 20 raise last time
gt44,,2019-02-07 11:09:00,36.326,AAL NG wont get cheaper you paid 1BILLION more for NG last yr than u expected
gt44,False,2019-02-07 11:06:00,36.323,AAL hire a capable structural engineershame your new HQ is already sinking into its foundation and u have yet to move in
gt44,False,2019-02-07 11:03:00,36.313,AAL most longs have given me the silent treatmentdrowning out the truthit hurts 2 much DougieP spending all your investments at the bar
gt44,False,2019-02-07 10:42:00,36.545,AAL blame any bad news you want folks The cold hard facts are that this co makes zero profit on flights Op costs overwhelming
EstimizeAlerts,,2019-02-07 09:54:00,36.46,AALs PRASM is a key growth metric for their next report on 0425 BMO Will they beat last quarters 1459 PRASMestimizecomintroaalchar
