natanr,True,2019-02-07 15:38:00,508.385,ISRG trimmed for some profit
EstimizeAlerts,,2019-02-07 13:09:00,510.055,ISRG analysts on Estimize are expecting 1600 YoY revenue growth for Q1 down from 1732 in Q4 Reporting 0416 AMChttpwwwestimizecomintroisrgcharthistoricalmetricnamerevenueutmcontentISRGutmmediumrevenuegrowthutmsourcestocktwits
EstimizeAlerts,,2019-02-07 09:51:00,519.306,ISRG reported 290 da Vinci System Shipments last quarter Next report is on 0416 AMC Jury is still out on expectations Whats yoursestimizecomintroisrgcha
