MJ,2019-01-03 11:20:00,26.92,26.8,True,False,-0.12,-0.0045
LABU,2019-01-02 13:28:00,33.445,34.69,True,True,1.245,0.0372
LABU,2019-01-02 13:26:00,33.445,34.69,True,True,1.245,0.0372
LABU,2019-01-02 13:12:00,33.515,34.69,True,True,1.175,0.0351
MJ,2019-01-02 09:59:00,25.23,26.265,True,True,1.035,0.041
IMMY,2018-12-24 10:22:00,4.8,4.91,True,True,0.11,0.0229
JNUG,2018-12-19 12:04:00,8.732,8.344,True,False,-0.388,-0.0444
MJ,2018-12-18 14:17:00,26.507,26.69,True,True,0.183,0.0069
MJ,2018-12-18 13:43:00,26.48,26.69,True,True,0.21,0.0079
MJ,2018-12-18 13:41:00,26.48,26.69,True,True,0.21,0.0079
JNUG,2018-12-18 13:26:00,8.48,8.9,True,True,0.42,0.0495
MJ,2018-12-18 12:47:00,26.39,26.69,True,True,0.3,0.0114
MJ,2018-12-18 12:45:00,26.39,26.69,True,True,0.3,0.0114
MJ,2018-12-18 09:30:00,26.685,26.69,True,True,0.005,0.0002
JNUG,2018-12-17 11:26:00,7.855,7.945,True,True,0.09,0.0115
MJ,2018-12-17 10:24:00,27.29,26.685,True,False,-0.605,-0.0222
MJ,2018-12-17 10:05:00,27.35,26.685,True,False,-0.665,-0.0243
XBI,2018-12-13 15:12:00,78.023,77.12,True,False,-0.903,-0.0116
XBI,2018-12-13 15:11:00,77.94,77.12,True,False,-0.82,-0.0105
XBI,2018-12-13 14:58:00,78.168,77.12,False,True,-1.048,-0.0134
XBI,2018-12-13 13:34:00,77.987,77.12,False,True,-0.867,-0.0111
XBI,2018-12-13 13:31:00,78.185,77.12,False,True,-1.065,-0.0136
MJ,2018-12-13 09:59:00,27.57,26.855,True,False,-0.715,-0.0259
MJ,2018-12-13 09:57:00,27.57,26.855,True,False,-0.715,-0.0259
NVAX,2018-12-12 12:21:00,2.4,2.52,True,True,0.12,0.05
JNUG,2018-12-12 11:42:00,7.705,7.55,True,False,-0.155,-0.0201
SPHS,2018-12-12 11:36:00,2.08,2.1,True,True,0.02,0.0096
SPHS,2018-12-10 11:59:00,2.03,2.08,True,True,0.05,0.0246
MJ,2018-12-07 13:58:00,28.93,28.72,False,True,-0.21,-0.0073
XBI,2018-12-07 12:49:00,79.11,78.7,False,True,-0.41,-0.0052
JNUG,2018-12-07 12:37:00,7.185,7.34,True,True,0.155,0.0216
MJ,2018-12-07 12:33:00,29.15,28.72,True,False,-0.43,-0.0148
SPHS,2018-12-07 09:35:00,2.075,2.02,True,False,-0.055,-0.0265
NVAX,2018-12-06 11:20:00,1.97,2.04,False,False,0.07,0.0355
NVAX,2018-12-06 11:17:00,1.971,2.04,False,False,0.069,0.035
JNUG,2018-12-06 10:16:00,7.035,7.01,True,False,-0.025,-0.0036
