thonz,,2019-03-01 15:54:00,18.34,COLL nice price action into close
taguru,,2019-03-01 13:58:00,17.952,COLL Collegium Pharmaceutical COLL 1759 was the markets top gainer this month soaring 12 tickeroncomeventid647955
taguru,,2019-03-01 13:58:00,17.938,COLL Collegium Pharmaceutical COLL 1759 was the markets top gainer this month soaring 12 tickeroncomeventid647955
taguru,,2019-03-01 13:40:00,17.85,COLL Collegium Pharmaceutical COLL 1759 was the markets top weekly gainer with a 17 jump tickeroncomeventid648492
Lazio1982,True,2019-03-01 10:22:00,18.381,COLL IMMU VRTX ABBV MBRX My Bios
Lazio1982,True,2019-03-01 10:18:00,18.484,COLL Up big here
TradeIdeasQuant,,2019-03-01 09:53:00,18.387,COLL tradeideascomtickyticky Quarterly Rev Growth is one reason for this move Up 5 for the day
