T1BUR0N,True,2019-03-01 15:23:00,49.05,Another victim found and treated thanks to SSTI postgazettecomnewscrime
kyle55,True,2019-03-01 15:09:00,49.51,SSTI down 1 percent then up 5 percent rinse and repeat
Ryan_P,True,2019-03-01 14:09:00,49.878,SSTI Oakland Officers make arrest of man with sawed off shotgun after ShotSpotter alert
Ryan_P,True,2019-03-01 13:50:00,49.665,SSTI City Chat Columbus ShotSpotter discussion with Deputy Chief of Police Richard Bash youtubecomwatchvbEFBf61
Ryan_P,True,2019-03-01 12:17:00,49.444,SSTI Miami ShotSpotter alerts police to man shot multiple times in car transport to hospital in stable condition local10comnewslocalmiam
