link2020,,2019-03-01 12:21:00,1.87,BURG buy HABT
dvbarto44,,2019-03-01 09:55:00,1.9,BURG HABT Ate at BGR A Burg partnerOh MY Amazing flavor of the Burger Wellington Delicious Get in BURG
dvbarto44,,2019-03-01 09:39:00,1.887,BURG HABT Habt Great Numbers Burg is the next Habt BUY NOW
