TradingGods,,2019-03-01 12:45:00,42.51,EEM Emerging Markets About to Send a Bullish Message to Stocks tradinggodsnettradinggod
EquityFeedAlerts,,2019-03-01 11:42:00,42.5,BLOCK TRADE EEM 1669527 shares 4253 114028
Wavepatterntraders,,2019-03-01 11:38:00,42.52,Divergence on the last high is supportive of a reversal and move lower EEM EMLC
EquityFeedAlerts,,2019-03-01 11:33:00,42.472,BLOCK TRADE EEM 1800000 shares 4250 113032
EPS_MomentuM,True,2019-03-01 11:29:00,42.511,Safe buy on WUBA at current 64 levels the monthly average price was in a range 67 to 69 with a high of 74 FXI YINN EDC EEM BABA
ecs18,,2019-03-01 11:28:00,42.5,EEM Saludos si acabas de llegar por medio de twitter por favor revisa el historial de compras y ventas y en especial el de rendimientos
EquityFeedAlerts,,2019-03-01 11:12:00,42.45,BLOCK TRADE EEM 1175000 shares 4250 111110
EquityFeedAlerts,,2019-03-01 11:12:00,42.45,BLOCK TRADE EEM 2351281 shares 4253 111147
triplehstocks,True,2019-03-01 11:06:00,42.58,Special Blog Post 2019 Emerging Market Sector Rotation EEM VWO EWZ ERUS GULF ILF EIDO emergingmarketstriplehstockscom2019030
EquityFeedAlerts,,2019-03-01 10:43:00,42.624,BLOCK TRADE EEM 2219409 shares 4260 103822
EquityFeedAlerts,,2019-03-01 10:38:00,42.59,BLOCK TRADE EEM 1758000 shares 4261 103317
