reddheadsc,,2019-02-12 15:18:00,0.5,RRTS Why cant this stock ever do anything
matty5,,2019-02-12 13:24:00,0.5133,RRTS for me there was no benefit in exercising the rights unless I were to perfectly execute on a day trade Better share deal open market
matty5,,2019-02-12 11:47:00,0.4928,RRTS 465K bid at 492 But with 900M total that still isnt huge
