Fletchthewar,True,2019-02-12 13:46:00,1.6,LPTH this is waking up Imo
cctranscripts,,2019-02-12 10:22:00,1.58,Wellington Trust Company NA just provided an update on share ownership of LightPath Technologi conferencecalltranscriptso LPTH
cctranscripts,,2019-02-12 10:20:00,1.58,Wellington Trust Company National Association Multiple Common Trust Funds Trust Micro Cap Equ conferencecalltranscriptso LPTH
livetraderalerts,,2019-02-12 10:16:00,1.57,LPTH 45m ago SEC Amended Beneficial Ownership Report SC 13GA LIGHTPATH TECHNOLOGIES INC secgovArchivesedgardata
livetraderalerts,,2019-02-12 10:15:00,1.56,LPTH 38m ago SEC Amended Beneficial Ownership Report SC 13GA LIGHTPATH TECHNOLOGIES INC secgovArchivesedgardata
cctranscripts,,2019-02-12 10:03:00,1.566,Wellington Management Company LLP just provided an update on share ownership of LightPath Techn conferencecalltranscriptso LPTH
livetraderalerts,,2019-02-12 10:01:00,1.566,LPTH 30m ago SEC Amended Beneficial Ownership Report SC 13GA LIGHTPATH TECHNOLOGIES INC secgovArchivesedgardata
