MrFish,True,2019-02-12 15:20:00,27.21,TUP great buy here
showtiime,True,2019-02-12 11:21:00,27.131,TUP We need ICAN and his buddies
showtiime,True,2019-02-12 10:19:00,26.96,TUP Good entry point with insiders buying shares of their own stock I take that as positive 6xtheir earnings comon
