lilpump_er,True,2019-02-12 15:38:00,2.288,OHRP going to pop big tomorrow but fuuuuuck wastes my whole day today
BootyCall,,2019-02-12 14:52:00,2.26,Power Hour Watch List SEEL red to green and three bagger AVEO OHRP ALRN BPTH WHLR CEI GNMX
BootyCall,,2019-02-12 12:58:00,2.334,WATCHLIST SEEL massive recovery and triple baggin others on WL BPTH ALRN OHRP NVCN WHLR IFMK GNMX RIGL RTTR
BootyCall,,2019-02-12 12:05:00,2.3,WL SEEL triple bagger right here others on watchlist OHRP ALRN BPTH OHGI AVEO WHLR CEI
