Yenskonia,,2019-02-12 11:43:00,4.73,NSYS no volume
broadstreet,,2019-02-12 11:01:00,4.727,SHOP ACB VKTX TNDM on watch here NSYS just broke trend line and looks like going much higher from here tradersnewssourcecombreak
broadstreet,,2019-02-12 10:55:00,4.722,NSYS TSRI NCS BPTH all potential to go a lot higher COTY ADMA AMD ISIG moved as predicted
