vu_jade,True,2019-02-12 14:58:00,9.95,FLDM bought under 10 like the long term trend here
ChartMill,,2019-02-12 13:42:00,9.948,Squeeze play pattern detected by our stock screener for MRIN FLDM and RGS chartmillcomstockscreener
ChartMill,,2019-02-12 12:40:00,10.006,PYX EPZM and FLDM are the top gainers for the day chartmillcomstockscreener
MedRep31,True,2019-02-12 10:02:00,9.952,OPGN watch the JVen portfolio it is booooooooomin CASM FLDM VCYT of course Opgn the feather in his cap his baby future
MedRep31,True,2019-02-12 09:37:00,9.825,OPGN told ya to get on the JVen EJ portfolio CASM BO today 100m from Edward LifeScience Chooooooo Choooooo VCYT FLDM
