sleekoptions_daytrade,True,2019-02-12 13:31:00,228.624,Update35 INTU Feb15 220 Calls Up 421 since alerted on Feb 04
InsiderForms,,2019-02-12 13:11:00,228.527,Rheos Capital Works Inchas filed Form 13F for Q4 2018Opened NEW positions in FRC INTU
InsiderForms,,2019-02-12 11:44:00,227.669,Penobscot Investment Management Company Inchas filed Form 13F for Q4 2018Opened NEW positions in ETRN INTU LIN
