Strawhut,,2019-02-12 15:03:00,8.26,CHFS 887 shares
El_Cap,,2019-02-12 14:41:00,8.26,CHFS valuesearch mentalhealthgovgethelpi
value_search,,2019-02-12 14:16:00,8.221,CHFS Little cockroach bitch loves the attention
ChartMill,,2019-02-12 13:27:00,8.232,CHFS is better placed than the average industry peer to meet its short term obligations chartmillcomanalyzephpu
jguilbert,,2019-02-12 12:37:00,8.417,CHFS 457 shares traded so far today in preparation for this 60 someone knows something
littleinvestorbiggains,,2019-02-12 10:28:00,8.403,CHFS so your dumass didnt sell and you are crying lmao
value_search,,2019-02-12 10:20:00,8.457,CHFS Signing off and I dont care to post again Let rats stew in their own juice
value_search,,2019-02-12 10:19:00,8.457,CHFS as long as you all know that the RAT club is here and everything they do is to cheat and steal with little games like last night
value_search,,2019-02-12 10:18:00,8.457,CHFS very tired of fighting with this rat club too I dont need anyone or to influence anyone INPX was the only loss in my stocks
value_search,,2019-02-12 10:16:00,8.457,CHFS just my last years encounter with French Rat alone at least 2 major ST accounts and numerous attacking accounts
value_search,,2019-02-12 10:13:00,8.457,CHFS He leads the Rat Club strategize and assign roles to the rat members they do timing and psych manipulation on social media
value_search,,2019-02-12 10:11:00,8.457,CHFS He swings many times a day whatever he pulls out of his ass is fabricated with things weaved in I recorded my phone call with him
value_search,,2019-02-12 10:09:00,8.457,CHFS I didnt take the 1M profit and leave I trusted the French Rat then and I didnt sell Later my greed caused 400K loss from capital
value_search,,2019-02-12 10:07:00,8.28,CHFS I put all in to INPX average down total of 550K he was shameless shorting it and telling the group to buy Later INPX could make 1M
value_search,,2019-02-12 10:06:00,8.28,CHFS French Rat always profited from going against my trades by using a different identity to offer made up info like Amazon work w INPX
buythedipsbro,,2019-02-12 09:55:00,8.28,CHFS been holding for almost 2 weeks nothing happening sell or not
value_search,,2019-02-12 09:55:00,8.28,CHFS Really busy today you can always monitor the tape on Nasdaq nasdaqcomsymbolchfstime
value_search,,2019-02-12 09:33:00,8.155,CHFS on my way to work Here is the level 2 Let rats and roaches come to fight
