Jkl3,True,2019-02-12 15:14:00,3.04,UUUU resourcestockdigestcomarc addressing margin question
MrTradeCraft,,2019-02-12 15:11:00,3.05,UUUU red to green to start the breakout
MrTradeCraft,True,2019-02-12 14:57:00,3.02,Couple Easy moves EODAMRH current fav looming Google PartnershipGLBS accum bottom UUUU long so hardNBEV a favorite
DaveFarber,,2019-02-12 13:05:00,3.005,Here is the Uranium weekly chart It must hold this RSI breakout level and break out in price asapURA CCJ DNN UUUU NXE UEC URG
MrTradeCraft,True,2019-02-12 11:09:00,3.05,AMRH Easy play Adding on all dips until ER andor Google partnership news is officially announced Between this NBEV UUUU and GLBS
