Benzinga,,2019-02-12 15:50:00,37.22,Is Europe On The Brink Of Recession benzingacomgeneraleducat EWG EZU SPY
InsiderForms,,2019-02-12 11:44:00,37.175,Van Hulzen Asset Management LLChas filed Form 13F for Q4 2018Opened NEW positions in AMN ABMD BIIB CARB EMX ENV FCX IBCP EZU
InsiderForms,,2019-02-12 10:42:00,37.141,NOVARE CAPITAL MANAGEMENT LLChas filed Form 13F for Q4 2018Opened NEW positions in ENB GPC HUBB EZU EEM MSM KRE SCHF XLF SYK
