Jumpman23,True,2019-02-12 15:35:00,10.237,SBS Downgraded and still trading about 10 a share
geffaxp,True,2019-02-12 13:30:00,10.32,SBS Severely oversold Below bottom of Bollinger Bands Forward PE is 211 and this is REALLY a buying op
geffaxp,True,2019-02-12 12:44:00,10.434,SBS 02122019 Buy 300 Shares of SBS Limit at 992 Day Filled at 992
