robtheo1420,,2019-02-12 15:59:00,2.441,XXII not a bad close on low volume
Westy4,True,2019-02-12 15:53:00,2.445,XXII beautiful recovery
HawkEyes,True,2019-02-12 15:51:00,2.438,XXII ACB APHA all three will be up 10 tomorrow
joemusic,,2019-02-12 15:51:00,2.438,XXII I consider closing at 243 or above a positive sign
Nickalus,,2019-02-12 15:47:00,2.432,XXII CG is silent when the stock isnt retracing
XXII2,True,2019-02-12 15:45:00,2.438,XXII Im going to make a guess that we get news in the next two weeks Good luck to you
Raychello,,2019-02-12 15:45:00,2.438,XXII Should I stay or should I go Its just been a stinker Ill kick myself if I sell it and it takes off though Advice
StonedHedge2,,2019-02-12 15:23:00,2.423,XXII PYX making nice move again today
ChartMill,,2019-02-12 15:17:00,2.42,Although the technical rating is bad XXII does present a nice setup opportunity chartmillcomanalyzephpu
redmaiden_,,2019-02-12 15:16:00,2.415,XXII is Kramer whining yet Pass this along to that whiny mf please
BaronKarza,,2019-02-12 14:57:00,2.418,XXII since it got real quiet Heres Tom after my next cc question
redneckkiitchenworker,,2019-02-12 14:48:00,2.415,XXII my portfolio would be up 8 ytd if XXII wasnt 30 of it
BaronKarza,,2019-02-12 14:47:00,2.41,XXII up 405 points and we here broke
JunaidQaiser,True,2019-02-12 14:46:00,2.403,XXII FDA intends to issue an order within 180 days after receipt of the PMTA Clock is ticking from 2719 August Very bullish summer
BaronKarza,,2019-02-12 14:45:00,2.405,XXII I tease my wife about the day Xxii happens This is what it looks like
FatPLover,,2019-02-12 14:44:00,2.405,XXII They were asked and stated on CC if they could defend Hemp Patent They said yes but no plan to ever sell seeds
RevBAFrederick,,2019-02-12 14:42:00,2.405,XXII Well be unveiling our hempderived CBD strategy to enter the US market over the next few months Aurora CCO Cam Battley 011519
FatPLover,,2019-02-12 14:41:00,2.408,XXII Just remember when it comes to hemp Email from Lawyer James last year
BaronKarza,,2019-02-12 14:41:00,2.408,XXII how I feel rn
BaronKarza,,2019-02-12 14:38:00,2.405,XXII all the snow melted Ive got an hour to kill folks IStockTwits
BaronKarza,,2019-02-12 14:33:00,2.405,XXII guess well have to speculate until direct final ruling on nicotine
BaronKarza,,2019-02-12 14:32:00,2.41,XXII how about an infographic that looks like Scott did it List the number of patents we hold a pie chart comparing nicotine levels
ev517,,2019-02-12 14:31:00,2.405,XXII not even at the milli mark for volume yet today
NoNameM0NTOYA,,2019-02-12 14:28:00,2.409,XXII give us some dribble or anything so we know youre doing something
NoNameM0NTOYA,,2019-02-12 14:28:00,2.409,XXII I agree Tbh Id like to at least see some newsletter or something every month Take us on little tours of the HQ show us the staff
BaronKarza,,2019-02-12 14:25:00,2.405,XXII terrible optics
BaronKarza,,2019-02-12 14:24:00,2.405,XXII no I totally get the whole silence approach I just will always feel like until we are told deal we cannot simply hope were right
BaronKarza,,2019-02-12 14:23:00,2.405,XXII lol
BaronKarza,,2019-02-12 14:22:00,2.405,XXII hey look I said nothing Can I have a raise too
BaronKarza,,2019-02-12 14:22:00,2.405,XXII
magpi,True,2019-02-12 14:21:00,2.403,XXII Since our 1000 page MRTP has been submitted I dont care if Henry twiddles his thumbs every day I know the writing on the wall
redneckkiitchenworker,,2019-02-12 14:20:00,2.407,XXII will itchys eventual kidnapping of Henry and putting him in a hole like Buffalo bill negatively affect the stock price
BaronKarza,,2019-02-12 14:13:00,2.402,XXII while the head of the company we invest in gives us nothing at all We dont even our patents Not good Not good at all
magpi,,2019-02-12 14:10:00,2.408,XXII The head of the FDA tweets almost every day about the addiction to nicotine
BaronKarza,,2019-02-12 14:04:00,2.408,XXII twittercomsurgeongeneral
PostBio,True,2019-02-12 14:02:00,2.406,XXII Patience holding works better than selling your position stalking the CEO company premises
magpi,,2019-02-12 13:49:00,2.403,XXII Does anyone doubt the fact that the head of the FDA wants to lower the nicotine levels
BaronKarza,,2019-02-12 13:45:00,2.405,XXII never been a fan of nickelback until today
BaronKarza,,2019-02-12 13:43:00,2.405,XXII
my1stmillion,True,2019-02-12 13:43:00,2.405,XXII my new whip
BaronKarza,,2019-02-12 13:41:00,2.401,XXII this stock makes you want to cheer for breaking even We sure could use some hope out here Throw us a crumb Henry
BaronKarza,,2019-02-12 13:36:00,2.398,XXII from starvation Yes
magpi,,2019-02-12 13:36:00,2.398,XXII The MRTP needs to be fast tracked to fight the nicotine epidemic We need to save our children
CobyJ,,2019-02-12 13:33:00,2.397,XXII Jan 2020 1 calls look pretty nice tbh Not to trade but to hold and exercise Especially if you think MRTP will be accepted by then
GrinchBot,,2019-02-12 13:29:00,2.398,XXII This is how I see these mf lawyers and their frivolous lawsuits vs XXII
redmaiden_,,2019-02-12 13:25:00,2.395,XXII Henry after sun goes down tonightLOL
magpi,,2019-02-12 13:24:00,2.392,XXII Just buy in your retirement account if you dont have patience
magpi,,2019-02-12 13:22:00,2.395,XXII Patience is the key
magpi,,2019-02-12 13:22:00,2.395,XXII Everyone except BT wants nonaddictive levels of nicotine Once MRTP approval the world will be knocking on XXIIs door
magpi,True,2019-02-12 13:17:00,2.395,XXII There is a war against nicotine addiction XXII is the weapon which will eradicate addiction
Vecicka,True,2019-02-12 13:08:00,2.388,JE XXII AUY my only 3 red stocks today overall not bad
treousa,True,2019-02-12 12:48:00,2.375,XXII Lol 500k in losses from a single plaintiff I doubt there is a single person that qualifies for that
