byers07,True,2019-02-08 15:38:00,4.9,ASTC We have got to be getting close Keep holding strong people
InsideTraitor,True,2019-02-08 14:45:00,4.891,ASTC holding pretty strong for a Friday Lets see that short flush
InsideTraitor,True,2019-02-08 14:45:00,4.886,ASTC holding pretty strong for a Friday Lets see that short flush
Oct,,2019-02-08 14:09:00,4.891,ASTC Twiddling thumbs n tappin fingers waiting for Rocketship ASTC to go airborneI got all day all week months years whatever
Oct,,2019-02-08 14:09:00,4.886,ASTC Twiddling thumbs n tappin fingers waiting for Rocketship ASTC to go airborneI got all day all week months years whatever
InsideTraitor,True,2019-02-08 11:45:00,4.87,ASTC can somebody please slap that ask
Oct,,2019-02-08 10:55:00,4.87,ASTC First Detect has apparently been too busy to update the Events section of their website I take that as a bullish sign LOL
