zippy82,True,2019-02-08 15:00:00,1.02,MTNB Sloooooow day
TheFacts,,2019-02-08 11:37:00,1.01,MTNB Shorts can check ZKIN stock dropped big and is looking for reversal specially with Shanghai Markets reopening Monday after New Year GL
TheFacts,,2019-02-08 11:35:00,1.013,MTNB Again I dont think its a bad stock but if u want to short etc I dont think this is the place for ur not prepared to hold at least 1yr
TheFacts,,2019-02-08 11:34:00,1.01,MTNB There income will be horrible considering current obligations I could see wall street investor being correct with its 39 prediction
TheFacts,,2019-02-08 11:33:00,1.01,MTNB Specially when earnings come out MTNB had no problem covering its short term obligations but with no new contracts or partnerships
TheFacts,,2019-02-08 11:32:00,1.01,MTNB Not sure why those cant wait for 94 to get back in to short 94 is a scary postion with voume probably looking at 60 range
jms002,,2019-02-08 11:24:00,1.02,MTNB please drop to 94 I want back in
Palms48,True,2019-02-08 10:55:00,1.03,MTNB keep playing the 94110 game I WILL WIN
