Doubil_Troubil,True,2019-02-08 14:39:00,9.83,CNX buy low sell high
investor0513,,2019-02-08 11:48:00,9.735,CNX Going under 5 Southeastern is obvious dumping massive amounts of shares at any bid Tired of their under performance
investor0513,False,2019-02-08 10:13:00,9.865,CNX Keep on coming down Gotta be 3035 million shorts now This is a one way ticket to new lows every day
