erick2015,,2019-02-08 12:25:00,39.55,SPY about to squeeze out of no where anytime now watch YMFNQF VIX RUSL TFF DJIA
AV8,,2019-02-08 12:00:00,39.64,SPY QQQ DJIA RUSL Every time WH puts these stories out about deadlines or the like just set up even more of a collapse if unsuccessful
AV8,,2019-02-08 11:48:00,39.48,SPY QQQ DJIA RUSL And President Xi has leverage of lifetime appointmenthes not going anywhere but he knows 45 doesntLEVERAGE
AV8,,2019-02-08 11:44:00,39.633,SPY QQQ DJIA RUSL China knows our imbecile will do anything to keep from losing the marketand that is leverage on enormous scale
