Bowtech32,True,2019-02-08 14:01:00,22.513,SFIX very nice day on a down market
EdgePointVA,True,2019-02-08 10:41:00,22.16,SFIX Nice set up ignore the bears their about to get toasted
rupert1,False,2019-02-08 10:33:00,21.995,SFIX 20s next week
EdgePointVA,True,2019-02-08 10:08:00,22.297,SFIX Just freakin awesome Thank You Trump for making this possible never have I made this much under a president
EdgePointVA,True,2019-02-08 09:50:00,21.943,CARA Lets here itYou were right Edge Point Yeababy Money Money Money What a great Friday and go SFIX making me rich also
