lunchmeat,,2019-02-08 13:24:00,12.003,NYCB red to green Want some more
Plumresearch,,2019-02-08 13:22:00,11.997,NYCB dontgiveuptheship you got any other no brainers tip me some seems like a very bright fella Value investing is best investing
Plumresearch,,2019-02-08 13:17:00,11.978,NYCB is a very safe bank that yields more than 55 now growing again since sifi lift to 250 billion That means nycb business can 5x
