MaydayFlowers,True,2019-02-08 14:19:00,13.715,AMC Nice move here Midlow 13s always seems like a good entry
ecommerceshares,True,2019-02-08 09:46:00,13.59,AMC Families with young kids will be very very poor Dumbo Aladdin Toy Story 4 Lion King AND Frozen 2 this year Start saving now
ecommerceshares,True,2019-02-08 09:44:00,13.6,AMC Good time to add here After a terrible movie slate early in the year the rest of 2019 looks completely crazy So many massive movies
