chartoo,,2019-02-27 15:50:00,4.28,SWN CHK chk killed it SWN is a powder keg now Good luck shorts
shortvolumes,,2019-02-27 15:25:00,4.32,Short sale volume not short interest for SWN on 20190226 is 49 shortvolumescomtSWN via shortvolumes
2019scarface,,2019-02-27 15:23:00,4.325,SWN TIME TO BREAK ABOVE 460 AND RUN TO 5
2019scarface,,2019-02-27 14:05:00,4.35,SWN LETS GO WILLIAM WAY SHOW ME THE MONEY
2019scarface,,2019-02-27 12:18:00,4.355,SWN run SWN run
2019scarface,,2019-02-27 11:42:00,4.345,SWN STORAGE LEVELS ALL TIME LOW WITH MORE COLD LINGERING LETS GO
jwort,,2019-02-27 11:37:00,4.328,SWN no volume
2019scarface,,2019-02-27 11:30:00,4.338,LNG THEY SHOULD OFFER A SWN A BUYOUT
2019scarface,,2019-02-27 11:23:00,4.36,SWN LETS go to 5
2019scarface,,2019-02-27 11:20:00,4.364,SWN COVER THOSE SHORTS
D00m_Gl00m,True,2019-02-27 11:14:00,4.375,SWN Nutty up oil up need market to go green and boom
benny7459,True,2019-02-27 10:30:00,4.304,SWN Total Petroleum inventories decreased by 179M barrelsWOW
EstimizeAlerts,,2019-02-27 10:30:00,4.304,Estimize revenue expectations are 154 higher than that of Wall Street for SWN Q4 Reporting Tomorrow 0228 AMCestimizecomintroswnchar
jwort,,2019-02-27 10:14:00,4.31,SWN next question would be have we thought about going to maintanace capex only and producing free cash flow and not giving away our gas
jwort,,2019-02-27 10:13:00,4.307,SWN would love a ceo from outside of energy to come in First meeting they would ask so why are we drilling for more to breakeven
jwort,,2019-02-27 10:10:00,4.337,SWN broken industry
jwort,,2019-02-27 09:43:00,4.401,SWN we are still punching those adding machines to get our totals together so we can report earnings We should suggest to mgmt quickbooks
