Bigbullish,,2019-02-27 15:57:00,163.657,W hope it ends green
Flippingcoins,,2019-02-27 15:54:00,163.462,W PUTS ON THIS OR TESLAQ ANY ADVISE
Ellagrace2010,,2019-02-27 15:44:00,163.42,W This is stupid
wacomarine,False,2019-02-27 15:41:00,163.299,W I dont think this is flying again anytime soon
SurpSippinWinner,,2019-02-27 15:34:00,163.253,W hoping to exit puts tomorrow around 158 before this flies yet again
stashofcashiii,False,2019-02-27 15:32:00,163.272,W Feels like a 2030 drop imminent
wacomarine,False,2019-02-27 15:31:00,163.335,W better luck tomorrow
love9211,,2019-02-27 15:25:00,163.385,W crack before collapse
WaveGenius,,2019-02-27 15:18:00,163.345,311PM Approx Current Profits 6000 on TQQQ 3000 on W and 2000 on BABA wavegeniuscom311pmapprox
iSwag,,2019-02-27 15:16:00,163.467,W big order worked at 235 taking abit of a toll maybe a temporary trend reversal but wont dip much folks will use this to cover guessing
Indicator1,,2019-02-27 15:16:00,163.467,W Dont be fooled This thing will still go up Just check since Friday it goes up after 330pm ET
Opportunist10,False,2019-02-27 15:13:00,163.543,W maybe a fade till close
wacomarine,,2019-02-27 15:04:00,163.722,W looks like this is gonna end flat today
stashofcashiii,False,2019-02-27 15:01:00,163.732,W I havent seen as many of their gay commercials lately They running out of money
Opportunist10,False,2019-02-27 15:00:00,163.823,W I like the company but at 164 seems overpriced just like when WTW was at 100
SurpSippinWinner,,2019-02-27 14:54:00,163.865,W hmmm how do they pay for 300 million worth of ads every quarter yet they only have 500 million cash on hand
GlobalTrekkar,False,2019-02-27 14:47:00,164.185,W Say debt say dilution120s
SurpSippinWinner,,2019-02-27 14:46:00,164.26,W I keep seeing so many over confident bear posts I think this only stops climbing after it clubs bear skulls into dust
GlobalTrekkar,False,2019-02-27 14:43:00,164.177,W SPY And youyou debt can posRise up on me mfrI shoot you down cold No profits 2023 roflmao Not 130 on your best days
SurpSippinWinner,,2019-02-27 14:20:00,164.038,W you might get a dip tomorrow Im going to sell for whatever gains I make on the downward Friday will pop again for option calls
joehinder,,2019-02-27 14:08:00,163.82,W everything I trade is within 25 of unchanged Everything
SurpSippinWinner,,2019-02-27 13:57:00,163.99,W weekly chart looks normal Maybe small pull back before heading to 200 just to fix the RSI a bit
SurpSippinWinner,,2019-02-27 13:53:00,163.9,W bought puts for many months out I can see this dragging on for a super long time
Indicator1,,2019-02-27 13:49:00,163.615,W this is very strong When this falls it will do that in a grand style Just be careful dealing with it Its very very stubborn
SurpSippinWinner,,2019-02-27 13:38:00,163.78,W lol some gaps just dont close
EPS_MomentuM,True,2019-02-27 13:27:00,164.02,Extreme Growth ETSY BEAT FTNT MELI STNE AYX ZEN PAGS TWLO SPOT SHOP IIPR RTN LMT W WB SPLK BABA TREE TSLA YY RACE
marketchameleonwins,,2019-02-27 13:21:00,163.713,W Option Order Flow Sentiment has Shifted from Bullish to Bearish marketchameleoncomOvervie
wacomarine,False,2019-02-27 13:21:00,163.713,W volume has diminished greatly over the past few days the steam appears to be gone
Malcolmjs34,False,2019-02-27 13:09:00,163.58,W im just saying
joehinder,False,2019-02-27 13:04:00,163.474,W I dont see how you lose money for 20 years straight but youre still in business
SwingJonas,False,2019-02-27 13:03:00,163.487,W RSI diversions today
rollandthomas,,2019-02-27 12:59:00,163.369,Wmentormarketiostocksroll
Opportunist10,False,2019-02-27 12:59:00,163.369,W crack it
NatKat,,2019-02-27 12:49:00,163.625,W anyone who hasnt taken profits is insanely greedy lol
joehinder,False,2019-02-27 12:41:00,163.819,W coiling not 100 sure if its headed higher or lower but after this run Im thinking its overheated
ChartMill,,2019-02-27 12:38:00,164.005,PEG W and CDNA making a new 52 week high chartmillcomstockscreener
Larry17,False,2019-02-27 12:23:00,163.931,W Sammytoldyou this guy is just clueless He was short 2 days ago now hes long talking trash about new economy Ignorance blows accounts
SQuareRootZero,,2019-02-27 12:19:00,164.115,W up on low volume That makes sense
arisegern,,2019-02-27 12:18:00,164.093,W I guess it will be up all week
Malcolmjs34,False,2019-02-27 12:17:00,163.905,W ill just keep addin to my short im not even 10 of my portfolio its up for no reason the more money i add the more ill make in the end
wgnj,False,2019-02-27 12:15:00,163.843,W im really all in short on this name guys
Sammytoldyou,,2019-02-27 12:14:00,163.82,W the only danger to W is if they were to start making money but I dont see that happening so go longthis is the new economy
stashofcashiii,False,2019-02-27 12:08:00,163.88,W insiders have already made more money than this entire company ever will haha
Sammytoldyou,,2019-02-27 12:01:00,164.132,W if W can just keep the losses doubling each Q I see this going to 250 by end of year
arisegern,,2019-02-27 11:57:00,164.52,W so no pull back ever
Sammytoldyou,,2019-02-27 11:54:00,164.503,W sales is all that matters in the new economyprofits is just an old paradigmpeople that think that will lose money go long W
Sammytoldyou,,2019-02-27 11:53:00,164.426,W many people are locked into the silly notion that companies need to make money thats old school profits mean nothing todaySALES
Sammytoldyou,,2019-02-27 11:48:00,164.349,W time to go long this is going nowhere but upload up on calls and go longcompanies dont need earnings anymore
Opportunist10,False,2019-02-27 11:47:00,164.273,W as bearish I am this is holding really well might hit nhod
Sammytoldyou,,2019-02-27 11:44:00,164.56,W the low float is very controlledshorts are done as long as the tutes dont sellit will go upall due to low float
CastAwayTrader,False,2019-02-27 11:39:00,164.308,W expecting a drop to 116107 and then continuation of the rally in wave C of 5 to a new All Time High
Indicator1,,2019-02-27 11:34:00,164.18,W time to bow out
SurpSippinWinner,,2019-02-27 11:32:00,164.269,W better get those 165 calls for the run to 170
iSwag,True,2019-02-27 11:28:00,163.941,W a board filled with noobs about to blow up their accounts due to premature shorting of a boxed float Tute ownership Maxed runs this SPY
Risk_Reward,False,2019-02-27 11:13:00,163.233,W below 160
Opportunist10,False,2019-02-27 11:07:00,163.06,W break it down
reydiy,False,2019-02-27 10:54:00,163.68,W wait for the second half the day so that we get the sell off volume
Sammytoldyou,,2019-02-27 10:51:00,164.11,W green It isnothing will stop this from going upshorts are driving it upsoon we all will have to cover
ThanhVII,,2019-02-27 10:46:00,164.27,DSW cnbccom20190227dswis WMT Super center have integrated this to fend off online AMZN W EBAY
Indicator1,,2019-02-27 10:46:00,164.27,W this is unreal even BA goes down F
BioTrader4,True,2019-02-27 10:44:00,164.468,W with everyone claiming it as an easy shorty its time to go long Nothing easy on Wall Street
ElonBust,,2019-02-27 10:39:00,164.063,W weakest shorts
KDavis1995,,2019-02-27 10:39:00,164.063,W There is no volume here for BOTS These are real people making foolish buying and selling decision Shorting too early Getting squeezed
KDavis1995,False,2019-02-27 10:28:00,162.89,W You guys are the most impatient traders ever We havent had a red day yet The first red day isnt usually a large one FuckRELAX
ThanhVII,,2019-02-27 10:26:00,163.447,TWTR FB MSFT AAPL WMT BAC JPM SPY DIA QQQ IWM Big boys have started selling after earnings except 4 a few NFLX SPOT W ETSY
Sammytoldyou,,2019-02-27 10:23:00,163.148,W amzn goog msft aapl all getting killedNOT W its invincible because Wall Street likes it
Ellagrace2010,,2019-02-27 10:21:00,163.12,W The new defensive stock Market pulling back put your money in W Will keep making money Fing stupid
SurpSippinWinner,,2019-02-27 10:21:00,163.12,W way too many excited shorts this will run up
arisegern,,2019-02-27 10:18:00,163.096,W shorts are just ruining this
arisegern,,2019-02-27 10:17:00,162.683,W shorts stop covering you morons
Indicator1,,2019-02-27 10:16:00,162.788,W The algorithm for this stock is very crazy You sell it goes up You buy it goes down FK
Malcolmjs34,,2019-02-27 10:14:00,161.547,W your stupid if you dont see this trend todays the first red day
wgnj,False,2019-02-27 10:13:00,161.649,W rug pull
arisegern,,2019-02-27 10:13:00,161.649,W there we go
cashisflan5,,2019-02-27 10:08:00,162.85,W I just looked at there future projected gross margin 25 Not a chance this thing will be profitable anytime soon
stugotz16,False,2019-02-27 10:07:00,163.13,W whole market getting crushed but this is hanging on Wtf Fall already
Opportunist10,False,2019-02-27 10:03:00,162.579,W Im Confused why people are comparing this to AMZN
JohnyB5000,,2019-02-27 09:58:00,163.352,W avg pt of 156 should go to 33185 Before heading back down
Ellagrace2010,,2019-02-27 09:57:00,163.025,W I am shocked a company like this doesnt sell a shit ton of shares up here Losing money til 2022 Put some cash in the bank
wgnj,False,2019-02-27 09:57:00,163.025,W look at AMD exactly the same shtshorted that one back in oct and made a poriftpatience pays off
Opportunist10,False,2019-02-27 09:54:00,163.543,W i averaged my short at 160 now
Indicator1,,2019-02-27 09:54:00,163.543,W who are those manipulating this stock This is crazy
pyrodavis,False,2019-02-27 09:53:00,163.825,W shorting 270 31 calls time for this thing to take a breather First entry yesterday second entry around 1649 today
Goldsboro89,False,2019-02-27 09:52:00,163.638,W going to go red
reydiy,False,2019-02-27 09:51:00,164.02,W all these PT rise comes only when all the hedge sells
wgnj,False,2019-02-27 09:51:00,164.02,W come one shorts Lets just kill this company Lets all play as a team I have a humongous postionneed your support
ThanhVII,,2019-02-27 09:49:00,164.592,W There is a reason why analysts have 170PT need it to trade as high as possible to raise more money
TraderDom,,2019-02-27 09:47:00,165.439,W absolute madness dont care about my puts expiring worthless Watching this is worth the price of admission Makes no sense at all
Sammytoldyou,,2019-02-27 09:43:00,164.68,W hilarious 168 close todaythen 200 next weekearnings dont matterWall Street loves itthe amzn model
wgnj,False,2019-02-27 09:41:00,164.874,W shorts are doing this to themselves Covering and letting the stock run
arisegern,,2019-02-27 09:40:00,164.13,W lol no way bro its the stupid shorts stop covering Jesus
Opportunist10,,2019-02-27 09:40:00,164.13,W just wants to stay green crazy
Ellagrace2010,,2019-02-27 09:39:00,164.062,W guess the zacks downgrade means nothing
wgnj,False,2019-02-27 09:37:00,164.337,W why is it not 1000
arisegern,,2019-02-27 09:37:00,164.337,W I swear this is just stupid lol how does it go up 4 days lul
Sammytoldyou,,2019-02-27 09:37:00,164.337,W and green it is told you
Sammytoldyou,,2019-02-27 09:35:00,162.268,W this will go green again todaywatchits just insane
BullishBearBot,,2019-02-27 09:33:00,162.253,W probably going to float the rest of the week to piss off both bulls and shorts thats just life p
Opportunist10,False,2019-02-27 09:32:00,162.255,W Profit taking today
