ERNPROFITS69,,2019-02-27 12:56:00,68.77,O
RENEWABLEDIVIDENDS,,2019-02-27 11:09:00,68.238,O Me today
RENEWABLEDIVIDENDS,,2019-02-27 10:52:00,68.25,O Most obvious move of the year I played this absolutely beautifully 38 yield historically low Overbought raising rates
