itsallaboutheoptions,True,2019-02-27 15:57:00,12.3,Trade Ideas PRTY delayed MAR15 15C lotto still actionable
cubie77,,2019-02-27 14:37:00,12.24,Earnings Thurs pm so Place your bets JD 22 or 30 SEAS 20 or 30 BUD 67 or 80 PRTY 9 or 15 ENDP 8 or 12s JCP 1 or 150 PCG
EstimizeAlerts,,2019-02-27 14:24:00,12.265,PRTYs Brand Comparable Sales is a key growth metric for their next report tomorrow 0228 BMO Will they beat last quarters 10 Braestimizecomintroprtycha
EstimizeAlerts,,2019-02-27 14:15:00,12.271,PRTYs Brand Comparable Sales is a key growth metric for their next report on 0508 BMO Will they beat last quarters Brand Comparabestimizecomintroprtycha
epsguid,,2019-02-27 13:01:00,12.157,PRTY is scheduled to report earnings before the market opens tomorrow via eWhispers earningswhisperscomstocks
EstimizeAlerts,,2019-02-27 12:45:00,12.165,PRTY reported 10 Brand Comparable Sales last quarter Next report is tomorrow 0228 BMO Jury is still out on expectations Whats estimizecomintroprtycha
EstimizeAlerts,,2019-02-27 11:07:00,12.15,PRTYs Brand Comparable Sales is a key growth metric for their next report tomorrow 0228 BMO Will they beat last quarters 10 Braestimizecomintroprtycha
EstimizeAlerts,,2019-02-27 10:09:00,12.229,Wall St is expecting 1429 YoY EPS growth for PRTY in Q1 in Q4 Reporting 0508 BMOhttpwwwestimizecomintroprtycharthistoricalmetricnameepsutmcontentPRTYutmmediumepsgrowthutmsourcestocktwits
