EquityFeedAlerts,,2019-02-27 12:29:00,3.497,BLOCK TRADE Microcap LPI 259200 shares 350 122538
Poonkiller,,2019-02-27 11:27:00,3.506,LPI oil roaring and this shit near 52 wk lowsi bought this garbage and fell for randys liesguy knows nothing about oil
Poonkiller,,2019-02-27 11:04:00,3.54,LPI Randy Foutch you damned homoerectus get off your ass and save this pos company
Poonkiller,,2019-02-27 10:22:00,3.479,LPI overpaid CEO for shit performance Randy needs cut in pay employs lousy consultants that cant drill a water well in my backyard
Poonkiller,,2019-02-27 10:14:00,3.458,LPI close to 52 week lows againshorts are all over this like flies on shit
