ThanosChin,,2019-02-27 15:52:00,19.965,JKS the volatility here is always fun to watch sheeeeesh
Dr_Stoxx,True,2019-02-27 14:40:00,19.6,JKS Another big breakout winner for my HOT STOXX LETTER peeps Chinese solar play still has room to run higher
SolarEdge,True,2019-02-27 14:15:00,19.864,JKS solar sector all green today except jks bounced back good off the low of the day enough red need some green to end the week out
danielrobertson,True,2019-02-27 10:13:00,19.149,JKS added 1918
danielrobertson,True,2019-02-27 10:08:00,19.35,JKS brutal manipulation here
SolarEdge,True,2019-02-27 10:05:00,19.506,JKS up on good sense down on no sense total manipulation
SolarEdge,True,2019-02-27 09:39:00,19.461,JKS total manipulation Buy on the dip great opportunity
