Shanghi18,True,2019-06-13 14:59:00,10.89,FCX and back up close HOD butstuck
egudenas,,2019-06-13 11:52:00,10.79,FCX straight down from HOD yuck
egudenas,,2019-06-13 11:08:00,10.826,FCX hit the gas
egudenas,,2019-06-13 10:59:00,10.76,FCX this looks ready here 115 area possible
EstimizeAlerts,,2019-06-13 10:42:00,10.745,Heres what 10 Estimize analysts believe FCX will report for Q2 2019 EPS Reporting 0725 BMOestimizecomintrofcxchar
