SGTLYNCHUSMC,True,2019-06-13 15:09:00,15.405,NUGT JNUG AU GLD GDX Bull Flag poised for breakout
taguru,,2019-06-13 09:47:00,15.305,AU AngloGold Ashanti AU 1506 was the markets top quarterly gainer rising 15 Expect an Uptrend continuation tickeroncomappnewsSearch
taguru,,2019-06-13 09:39:00,15.269,AU AngloGold Ashanti AU 1506 was the markets top winner yesterday jumping 429 Expect an Uptrend continuation tickeroncomappnewsSearch
