taguru,True,2019-06-13 11:01:00,12.78,AIdvisor made a bullish call on EVER netting in a 1585 gain over 2 weeks tickeroncomappnewsSearch
Everland,True,2019-06-13 10:48:00,12.77,EVER No one here but me enjoying a real uptrend with a solid company
Everland,False,2019-06-13 10:09:00,12.705,CHFS DMPI Are you all just addicted to crappy looking charts in downtrends You have charts like EVER and AYX you ignore for these poss Good luck
