swingydingy,,2019-03-29 12:43:00,8.613,SIEN nice double bottom here
steve6969,True,2019-03-29 10:15:00,8.4,SIEN just another typical Sientra day bucking the market once again Did I say FU Nugent enough today Nah
steve6969,True,2019-03-29 09:42:00,8.39,SIEN daily rant today DOUBLE FU Nugent 2679 to 839 Spectacular company management See yall tomorrow Bullish
