Alpha__Trading,True,2019-06-12 15:56:00,1.831,IFRX NURO SFET going long short me if you want
W404,True,2019-06-12 13:53:00,1.8,SFET closing price of sfet in Tel aviv equals around 2205 US so 18 is cheap
W404,True,2019-06-12 13:38:00,1.75,SFET nearby where I live is a company shutdown for already more than a week workforce more than 1000 people due to cyberattackchina north koreaoffice 39 russia iran saudis qatara fair stockprice for sfet today should be around 3545 but hey not everyone is rational luckily
W404,True,2019-06-12 13:25:00,1.764,SFET 10 rip down before 50 rip up tight stoplosses taken outworkforce went up from 33 to 50 indicates revenue growth of a few 100inflection point reached government 3 years contract biggest brewery in IL leading european consumer electronics manufacturer
W404,True,2019-06-12 13:15:00,1.764,SFET well jdogg assume there would be a float of 30 million shares TODAYwhich is not the case which I explaned before those venture capitalists recently signing up the 1st trench did so at 23 knew very well how sfet was going to finance itself into the futurewe are talking about coming yearsand what you tend to forget is that 23share was for Yesterday Netnut and Sfet with all recent big contractscount in law of attraction could start to produce decent revenue very very soon than those shares will be placed at a much higher price with institutional investors coming years meaning also that you tend to forget that those extra shares will equal tens of millions working capital
Jdogg85,,2019-06-12 12:14:00,1.843,SFET any stock that plans to go from 2m shares to 32m shares isnt good for stockholders no matter what acquisitions are made
aphasma,,2019-06-12 11:36:00,1.76,SFET Lol I didnt expect that soon
aphasma,,2019-06-12 11:32:00,1.84,SFET As said earlier 181 coming soon
