Morpheus,,2019-06-12 15:57:00,37.45,TWTR So bullish it hurts
TayDrader,True,2019-06-12 15:42:00,37.475,TWTR based on recent price action should hit 38 tomorrow after grinding it out today Yes bears itll fade a bit like all stocks tend to do but its in a 6 month uptrend buoyed by Q1 beat and upcoming election cycle Recent drops were markettrade oriented perhaps a bit of gap fill this is going much higher in my opinion
GoodNewsBull,True,2019-06-12 15:28:00,37.476,TWTR InvestingTrading 101 You want to Buy whats green in a Red Mrkt
EstimizeAlerts,,2019-06-12 15:28:00,37.476,TWTR analysts on Estimize expect 03 YoY growth in MAUs for Q2 down from 213 in previous year Reporting 0726 BMOestimizecomintrotwtrcha
TayDrader,True,2019-06-12 15:19:00,37.53,TWTR will rocket to 45 then drop 50 and these idiot trolls will start unintelligibly bashing again ie dis be a POS lol it only werf 5 dolla idiots
GoodNewsBull,True,2019-06-12 15:14:00,37.575,TWTR Setup still looks great Flushed out a lot of weakhands got some Retail in to Short when they should be buying See how the week plays out
rluvstocks,True,2019-06-12 15:01:00,37.525,TWTR we Will see 70 2020
HCPG,,2019-06-12 14:18:00,37.425,IBD WatchList candidates TWTR PYPL MNST LULU New Post highchartpatternscomibdw
DOEDoobs,True,2019-06-12 14:18:00,37.425,TWTR This fucking stock
sellmeonu,,2019-06-12 13:59:00,37.563,SPY The magic is out of the TSLA story The street doesnt believe Elon anymore Now that hes off TWTR he swung for the fence last night but strikes out price 211 Gerbs had a nice speech about TSLA also but price action rules
rluvstocks,True,2019-06-12 13:59:00,37.563,TWTR 38
Chark,True,2019-06-12 13:58:00,37.555,TWTR IWM higher Vix lower Time to start buying the market
rluvstocks,True,2019-06-12 13:35:00,37.498,TWTR 40 un coming days
GoodNewsBull,True,2019-06-12 13:07:00,37.43,TWTR Lets see when HFT cover their Open Short in this Vol is still 2m under yesterday at this time so no sellers were set up to make that 38 run
d4vid24,True,2019-06-12 13:06:00,37.425,TWTR we got this blast offf time AMD
inhinyer0,,2019-06-12 13:04:00,37.41,TWTR definitely the next ad giant
rluvstocks,True,2019-06-12 13:00:00,37.385,TWTR cricket worldcup
TayDrader,True,2019-06-12 12:58:00,37.41,TWTR all eyes on Twitter next 15 months through 2020 election plays out here What could be more attractive to advertisers
TayDrader,True,2019-06-12 12:55:00,37.453,TWTR beast mode again This is why I stopped shorting this recently
Chark,True,2019-06-12 12:55:00,37.453,TWTR Bullish engulfment Starting Weinstein stage 2 Sweet
rluvstocks,True,2019-06-12 12:50:00,37.4,TWTR 40 sooner
offthewallstreet,,2019-06-12 12:46:00,37.38,TWTR somebodys buying calls
RunYouBastardRuuuuuun,True,2019-06-12 12:44:00,37.355,TWTR Been rejected at this level all daypush you bastard
no1patfan,True,2019-06-12 12:35:00,37.27,TWTR All things considered u look good today u old nag
FundSecured42069,,2019-06-12 12:33:00,37.285,SPY I have to give Trump credit His next book will be The Art of Manipulating the Markets as POTUS using TWTR
RunYouBastardRuuuuuun,True,2019-06-12 12:33:00,37.285,RVLV I go to grab a quick bite and my whole board is green DIS TWTR NLY Runnnn you bastards ruuuuunnn
GoodNewsBull,True,2019-06-12 12:31:00,37.27,TWTR See if it breaks to the upside over 38 Vol flushed the weak Lets see
leeza1007,,2019-06-12 12:26:00,37.257,TWTR
thewwwdot,,2019-06-12 12:19:00,37.14,TWTR VOLUME
EstimizeAlerts,,2019-06-12 12:18:00,37.129,TWTR estimates distribution heres what 64 Estimize analysts are expecting TWTR to report for Q2 Reporting 0726 BMOestimizecomintrotwtrcha
audrakat,,2019-06-12 12:13:00,37.148,TWTR humaneventscom20190612
